Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,,Latitude,Longitude
240088,CENTRACARE- RICE MEMORIAL HOSPITAL,301 BECKER AVE SW,WILLMAR,MN,56201,KANDIYOHI,(320) 235-4543,Acute Care Hospitals,Government - Local,Yes,Y,Y,4,,7,3,0,3,0,,8,3,0,3,0,,11,7,0,7,0,,8,8,,12,10,,,45.1199948,-95.0460933
340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,SANFORD,NC,27330,LEE,(919) 774-2100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,5,0,5,0,,8,4,0,4,0,,11,6,0,6,0,,8,8,,12,9,,,35.4689415,-79.1862325
324014,CENTRAL DESERT BEHAVIORAL HEALTH HOSPITAL,1525 N RENAISSANCE BLVD NE,ALBUQUERQUE,NM,87102,BERNALILLO,(505) 243-3387,Psychiatric,Proprietary,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,35.1378735,-106.6077558
104072,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PARKWAY,ORLANDO,FL,32821,ORANGE,(407) 370-0111,Psychiatric,Proprietary,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,28.4091984,-81.4697449
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,32771,SEMINOLE,(407) 321-4500,Acute Care Hospitals,Proprietary,Yes,Y,,2,,7,7,1,6,0,,8,7,1,6,0,,11,8,0,6,2,,8,8,,12,7,,,28.8147229,-81.2836626
194025,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK STREET,PINEVILLE,LA,71361,RAPIDES,(318) 484-6200,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,31.3253446,-92.4389752
200024,CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,LEWISTON,ME,4240,ANDROSCOGGIN,(207) 795-0111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,2,4,1,,11,11,0,11,0,,8,8,,12,11,,,44.1021568,-70.2145298
271345,CENTRAL MONTANA MEDICAL CENTER,408 WENDELL AVE,LEWISTOWN,MT,59457,FERGUS,(406) 535-7711,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,1,1,0,,8,8,,12,4,,,47.0603891,-109.4419937
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,(907) 262-4404,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,1,,7,4,0,4,0,,8,4,0,3,1,,11,9,0,9,0,,8,8,,12,10,,,60.4937695,-151.0786289
344004,CENTRAL REGIONAL HOSPITAL,300 VEAZY RD,BUTNER,NC,27509,GRANVILLE,(919) 764-2000,Psychiatric,Voluntary non-profit - Church,Yes,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,36.146006,-78.7720748
184015,CENTRAL STATE HOSPITAL,10510 LAGRANGE ROAD,LOUISVILLE,KY,40223,JEFFERSON,(502) 253-7045,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,38.2720791,-85.5581361
461304,CENTRAL VALLEY MEDICAL CENTER - CAH,48 WEST 1500 NORTH,NEPHI,UT,84648,JUAB,(435) 623-3000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,5,,,39.7314562,-111.8375634
470001,CENTRAL VERMONT MEDICAL CENTER,BOX 547,BARRE,VT,5641,WASHINGTON,(802) 371-4100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,5,0,,8,4,0,4,0,,11,9,0,8,1,,8,8,,12,11,,,44.1966858,-72.5013944
310111,CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,7728,MONMOUTH,(732) 294-7012,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,1,5,0,,8,7,1,5,1,,11,8,1,4,3,,8,8,,12,10,,,40.2376203,-74.311415
400124,CENTRO CARDIOVASCULAR,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS,PR,936,SAN JUAN,(787) 754-8500,Acute Care Hospitals,Government - State,Yes,,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,Not Available,5,,18.3997905,-66.06815
404009,CENTRO DE SALUD CONDUCTUAL MENONITA-CIMA,CARR ESTATAL 14 INTERIOR SARGENTO GERARDO SANTIAGO,AIBONITO,PR,705,AIBONITO,(787) 714-2462,Psychiatric,Voluntary non-profit - Private,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,18.1396446,-66.2695783
400115,CENTRO MEDICO WILMA N VAZQUEZ,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,VEGA BAJA,PR,693,VEGA BAJA,(787) 858-1580,Acute Care Hospitals,Proprietary,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,0,2,,11,1,0,1,0,,8,Not Available,5,12,1,,,18.443691,-66.414166
60103,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DR,LOUISVILLE,CO,80027,BOULDER,(303) 673-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,2,0,2,0,,8,5,0,5,0,,11,7,2,5,0,,8,8,,12,8,,,39.9512057,-105.1526749
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 N NEVADA AVE,COLORADO SPRINGS,CO,80907,EL PASO,(719) 776-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,8,5,3,0,,11,11,3,7,1,,8,8,,12,9,,,38.8652866,-104.8224717
60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 S DOWNING ST,DENVER,CO,80210,DENVER,(303) 778-1955,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,5,,7,6,0,6,0,,8,7,1,6,0,,11,8,1,7,0,,8,8,,12,8,,,39.6705695,-104.9745722
60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 W 2ND PL,LAKEWOOD,CO,80228,JEFFERSON,(720) 321-0000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,5,,7,7,0,7,0,,8,6,3,3,0,,11,8,1,5,2,,8,8,,12,8,,,39.7160026,-105.1292761
60104,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PKWY,WESTMINSTER,CO,80023,BROOMFIELD,(720) 627-0000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,5,0,5,0,,8,6,2,4,0,,11,8,2,6,0,,8,8,,12,9,,,39.9563023,-104.9906012
170023,CENTURA ST. CATHERINE HOSPITAL-GARDEN CITY,401 EAST SPRUCE,GARDEN CITY,KS,67846,FINNEY,(620) 225-8400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,4,0,4,0,,8,5,0,5,0,,11,7,0,6,1,,8,8,,12,10,,,37.9696779,-100.8683424
170175,CENTURA ST. CATHERINE-DODGE CITY,3001 AVENUE A,DODGE CITY,KS,67801,FORD,(620) 225-8400,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,3,0,3,0,,8,2,0,2,0,,11,5,0,5,0,,8,8,,12,8,,,37.7862701,-100.0173017
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,WHITESIDE,(815) 625-0400,Acute Care Hospitals,Government - Local,Yes,,Y,2,,7,5,0,4,1,,8,5,0,5,0,,11,10,0,10,0,,8,8,,12,10,,,41.8026844,-89.6970439
281341,CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,825 CENTENNIAL DRIVE,CHADRON,NE,69337,DAWES,(308) 432-5586,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,8,,12,4,,,42.8229914,-103.0145229
40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,DANVILLE,AR,72833,YELL,(479) 495-2241,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,4,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,8,,12,8,,,35.0543816,-93.38795
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,0,6,0,,8,7,0,6,1,,11,10,0,9,1,,8,8,,12,11,,,44.7009651,-73.4693329
390112,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,600 SOMERSET AVENUE,WINDBER,PA,15963,SOMERSET,(814) 467-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,4,,7,2,0,2,0,,8,3,0,3,0,,11,5,0,5,0,,8,8,,12,7,,,40.2428347,-78.8372055
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,MARICOPA,(480) 728-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,1,6,0,,8,8,1,7,0,,11,11,1,10,0,,8,8,,12,10,,,33.2972521,-111.8746513
34027,CHANGEPOINT PSYCHIATRIC HOSPITAL,1920 WEST COMMERCE DRIVE,LAKESIDE,AZ,85929,NAVAJO,(928) 368-4110,Psychiatric,Voluntary non-profit - Private,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,34.165211,-109.9753409
50745,CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVE,ORANGE,CA,92869,ORANGE,(714) 633-0011,Acute Care Hospitals,Proprietary,No,,,1,,7,1,0,1,0,,8,4,0,4,0,,11,4,0,2,2,,8,8,,12,5,,,33.7885557,-117.8263358
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646,AVERY,(828) 737-7000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,5,,,36.0604388,-81.8892477
201301,CHARLES A DEAN MEMORIAL HOSPITAL,PO BOX 1129,GREENVILLE,ME,4441,PISCATAQUIS,(207) 695-5200,Critical Access Hospitals,Government - Hospital District or Authority,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,2,,,45.4594863,-69.5905815
510022,CHARLESTON AREA MEDICAL CENTER,501 MORRIS STREET,CHARLESTON,WV,25301,KANAWHA,(304) 388-5432,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,7,0,6,1,,8,8,2,3,3,,11,11,0,7,4,,8,8,,12,11,,,38.3477909,-81.6272712
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,,4,,7,5,1,4,0,,8,4,1,3,0,,11,6,0,4,2,,8,8,,12,6,,,32.7841197,-79.9540689
231322,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DRIVE,CHARLEVOIX,MI,49720,CHARLEVOIX,(231) 547-4024,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,6,1,5,0,,8,8,,12,7,,,45.3144805,-85.2747119
70011,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,CT,6790,LITCHFIELD,(860) 496-6666,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,5,0,,8,6,2,4,0,,11,9,0,8,1,,8,8,,12,10,,,41.7926954,-73.1343843
281351,CHASE COUNTY COMMUNITY HOSPITAL,"P O BOX 819, 600 W 12TH ST",IMPERIAL,NE,69033,CHASE,(308) 882-7111,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,4,,,40.5244196,-101.6508452
341311,CHATHAM HOSPITAL INC,475 PROGRESS BLVD,SILER CITY,NC,27344,CHATHAM,(919) 799-4000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,8,,12,5,,,35.7230233,-79.4208116
111324,CHATUGE REGIONAL HOSPITAL,110 S MAIN STREET,HIAWASSEE,GA,30546,TOWNS,(706) 896-2222,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5,12,2,,,34.9465224,-83.7537085
230259,CHELSEA HOSPITAL,775 S MAIN ST,CHELSEA,MI,48118,WASHTENAW,(734) 475-3911,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,5,,7,4,0,4,0,,8,4,1,3,0,,11,9,1,8,0,,8,8,,12,10,,,42.3104126,-84.016554
330033,CHENANGO MEMORIAL HOSPITAL,179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,(607) 337-4111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,3,0,3,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,8,,,42.5412982,-75.5260128
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,(828) 497-9163,Acute Care Hospitals,Government - Federal,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,1,0,1,0,,8,Not Available,5,12,2,,,35.4770574,-83.3205859
420043,CHEROKEE MEDICAL CENTER,1530 N LIMESTONE ST,GAFFNEY,SC,29340,CHEROKEE,(864) 487-4271,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,2,,7,3,0,3,0,,8,2,0,2,0,,11,5,0,5,0,,8,Not Available,5,12,8,,,35.0899513,-81.6344179
370171,CHEROKEE NATION W W HASTINGS INDIAN HOSPITAL,100 S BLISS AVENUE,TAHLEQUAH,OK,74464,CHEROKEE,(918) 458-3100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,3,17,7,2,0,2,0,,8,3,0,3,0,,11,3,1,2,0,,8,8,,12,4,,,35.9134073,-94.9501995
161362,CHEROKEE REGIONAL MEDICAL CENTER,300 SIOUX VALLEY DRIVE,CHEROKEE,IA,51012,CHEROKEE,(712) 225-5101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,4,1,,8,8,,12,5,,,42.7602524,-95.547118
281344,CHERRY COUNTY HOSPITAL,510 NORTH GREEN ST,VALENTINE,NE,69201,CHERRY,(402) 376-2525,Critical Access Hospitals,Government - Local,Yes,,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,2,0,2,0,,8,Not Available,5,12,3,,,42.8790786,-100.538401
344026,CHERRY HOSPITAL,1401 WEST ASH STREET,GOLDSBORO,NC,27530,WAYNE,(919) 731-3203,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,35.3949148,-78.0200686
490120,CHESAPEAKE GENERAL HOSPITAL,"736 BATTLEFIELD BLVD, NORTH",CHESAPEAKE,VA,23320,CHESAPEAKE CITY,(757) 312-8121,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,6,0,5,1,,8,8,2,6,0,,11,8,0,6,2,,8,8,,12,9,,,36.7457446,-76.2464171
300019,CHESHIRE MEDICAL CENTER,580 COURT STREET,KEENE,NH,3431,CHESHIRE,(603) 354-5400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,5,0,,8,5,0,5,0,,11,9,0,9,0,,8,8,,12,11,,,42.9487724,-72.2917061
390179,CHESTER COUNTY HOSPITAL,701 EAST MARSHALL STREET,WEST CHESTER,PA,19380,CHESTER,(610) 431-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,7,2,5,0,,8,8,2,6,0,,11,11,2,9,0,,8,8,,12,11,,,39.9710356,-75.602351
171310,CHEYENNE COUNTY HOSPITAL,210 WEST 1ST STREET,ST FRANCIS,KS,67756,CHEYENNE,(785) 332-2104,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,3,,,39.7708124,-101.8036151
530014,CHEYENNE REGIONAL MEDICAL CENTER,214 EAST 23RD STREET,CHEYENNE,WY,82001,LARAMIE,(307) 633-2273,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,10,1,9,0,,8,8,,12,9,,,41.140603,-104.8165116
53004F,CHEYENNE VA MEDICAL CENTER,2360 E. PERSHING BLVD.,CHEYENNE,WY,82001,LARAMIE,(307) 778-7300,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,,5,,7,3,0,3,0,,8,1,0,1,0,,11,4,2,2,0,,8,8,,12,5,,,41.1481373,-104.7861887
180025,CHI  SAINT JOSEPH HEALTH -FLAGET MEMORIAL HOSPITAL,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,KY,40004,NELSON,(502) 350-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,3,0,3,0,,8,2,0,2,0,,11,8,0,8,0,,8,8,,12,11,,,37.8616742,-85.5240475
161304,CHI HEALTH - MERCY CORNING,603 ROSARY DRIVE,CORNING,IA,50841,ADAMS,(641) 322-3121,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,6,,,40.9889947,-94.7492807
280060,CHI HEALTH BERGAN MERCY,7500 MERCY RD,OMAHA,NE,68124,DOUGLAS,(402) 398-6060,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,2,5,0,,11,10,1,9,0,,8,8,,12,10,,,41.2389487,-96.0313615
280009,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68847,BUFFALO,(308) 865-7100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,7,0,7,0,,8,7,1,6,0,,11,9,1,7,1,,8,8,,12,9,,,40.7073956,-99.0818186
280081,CHI HEALTH IMMANUEL,6901 NORTH 72ND ST,OMAHA,NE,68122,DOUGLAS,(402) 572-2121,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,5,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,10,,,41.3217225,-96.0212855
280130,CHI HEALTH LAKESIDE,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,DOUGLAS,(402) 717-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,10,,,41.2377945,-96.1808016
160028,CHI HEALTH MERCY COUNCIL BLUFFS,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,POTTAWATTAMIE,(712) 328-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,4,0,4,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,10,,,41.2695505,-95.8377533
280105,CHI HEALTH MIDLANDS,11111 SOUTH 84TH ST,PAPILLION,NE,68046,SARPY,(402) 593-3000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,5,0,5,0,,8,8,,12,9,,,41.135853,-96.040111
161309,CHI HEALTH MISSOURI VALLEY,631 N 8TH ST,MISSOURI VALLEY,IA,51555,HARRISON,(712) 642-2784,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,6,,,41.5628002,-95.8856097
280128,CHI HEALTH NEBRASKA HEART,7500 SOUTH 91ST ST,LINCOLN,NE,68526,LANCASTER,(402) 327-2700,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,3,,7,4,0,4,0,,8,2,0,2,0,,11,5,0,4,1,,8,8,,12,3,,,40.7364937,-96.5932439
281346,CHI HEALTH PLAINVIEW HOSPITAL,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,PIERCE,(402) 582-4245,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,4,,,42.3586767,-97.7857799
281323,CHI HEALTH SCHUYLER,104 WEST 17TH ST,SCHUYLER,NE,68661,COLFAX,(402) 352-2441,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,5,,,41.455672,-97.0605158
280020,CHI HEALTH ST. ELIZABETH,555 SOUTH 70TH ST,LINCOLN,NE,68510,LANCASTER,(402) 219-7700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,7,0,5,2,,8,8,,12,9,,,40.8080597,-96.6275514
280023,CHI HEALTH ST. FRANCIS,2620 WEST FAIDLEY AVE,GRAND ISLAND,NE,68803,HALL,(308) 384-4600,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,5,0,5,0,,8,6,1,5,0,,11,8,1,7,0,,8,8,,12,8,,,40.9258317,-98.3716607
281342,CHI HEALTH ST. MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,OTOE,(402) 873-3321,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,7,,,40.6563727,-95.862363
110236,CHI MEMORIAL HOSPITAL- GEORGIA,100 GROSS CRESCENT CIRCLE,FORT OGLETHORPE,GA,30742,CATOOSA,(770) 874-5400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5,12,9,,,34.9467697,-85.2639323
351324,CHI MERCY HEALTH,570 CHAUTAUQUA BLVD,VALLEY CITY,ND,58072,BARNES,(701) 845-6400,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5,12,6,,,46.9284802,-97.9939908
351315,CHI OAKES HOSPITAL,1200 N 7TH ST,OAKES,ND,58474,DICKEY,(701) 742-3291,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5,12,5,,,46.1260907,-98.0900368
350002,CHI ST ALEXIUS HEALTH,900 E BROADWAY,BISMARCK,ND,58501,BURLEIGH,(701) 530-7000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,3,,7,7,0,7,0,,8,7,0,6,1,,11,11,3,8,0,,8,8,,12,9,,,46.8076302,-100.777575
351333,CHI ST ALEXIUS HEALTH DEVILS LAKE,1031 7TH ST NE,DEVILS LAKE,ND,58301,RAMSEY,(701) 662-2131,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,1,3,0,,8,Not Available,5,12,8,,,48.1155194,-98.8492925
351336,CHI ST ALEXIUS HEALTH DICKINSON,2500 FAIRWAY STREET,DICKINSON,ND,58601,STARK,(701) 456-4000,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,5,0,5,0,,8,8,,12,8,,,46.8892835,-102.8206945
